,char_id,base_hp,stats_1,stats_2,stats_3,stats_4,stats_5,stats_6,race,class_starting,class_starting_level,subclass_starting,class_other,subclass_other,total_level
46,2700,12,8,8,8,8,8,8,Human,Ranger,1,,,,1
47,2705,12,12,15,13,10,14,8,Dragonborn,Cleric,5,Life Domain,,,5
48,2778,12,0,0,0,0,0,0,Tiefling,Warlock,1,,,,1
49,2779,12,0,0,0,0,0,0,Dwarf,Fighter,1,,,,1
50,2782,12,13,10,12,11,12,15,Dwarf,Bard,1,,,,1
51,2806,18,10,13,14,10,15,10,Genasi,Druid,3,Circle of the Land (Coast),,,3
52,2808,12,0,0,0,15,0,0,Gnome,Wizard,15,School of Evocation,,,15
53,2841,12,0,0,0,0,0,0,Dwarf,Paladin,1,,,,1
54,2842,12,7,12,12,14,15,15,Half-Elf,Cleric,4,Life Domain,,,4
55,2873,12,15,13,14,10,12,8,Gnome,Barbarian,1,,,,1
56,2894,124,14,18,16,15,17,15,Half-Elf,Ranger,17,Hunter,,,17
57,2898,72,14,15,13,8,10,12,Human,Ranger,8,Beast Master,Rogue,Assassin,12
58,2903,12,0,0,0,0,0,0,Elf,Monk,11,,,,11
59,2954,12,15,14,15,8,10,8,Dwarf,Barbarian,1,,Fighter,,3
60,2988,18,18,18,17,11,16,19,Dragonborn,Monk,1,,,,1
61,3055,8,15,17,12,10,14,14,Elf,Monk,1,,,,1
62,3061,12,0,0,0,0,0,0,Half-Elf,Warlock,1,The Fiend,,,1
63,3126,12,8,8,8,8,8,8,Human,Rogue,1,,,,1
64,3138,10,11,8,10,12,16,11,Elf,Fighter,1,,,,1
65,3279,10,15,13,14,10,12,8,Halfling,Fighter,3,,,,3
66,3385,12,8,12,13,15,14,10,Human,Wizard,6,School of Evocation,,,6
67,3386,87,18,8,15,6,13,16,Dwarf,Paladin,13,Oath of Devotion,Warlock,The Celestial,14
68,3388,12,10,14,8,13,12,15,Genasi,Rogue,1,,,,1
69,3389,12,8,8,8,8,8,8,Elf,Rogue,1,,,,1
70,3392,12,0,0,0,0,0,0,Human,Wizard,1,,,,1
71,3449,12,0,0,0,0,0,0,Dwarf,Barbarian,6,,,,6
72,3450,12,8,15,13,12,14,10,Dwarf,Monk,3,Way of the Open Hand,,,3
73,3452,8,8,13,14,12,10,15,Half-Elf,Warlock,1,The Fiend,,,1
74,3456,12,8,8,8,8,8,8,Dragonborn,Sorcerer,1,Draconic Bloodline,,,1
75,3459,12,10,15,13,10,10,14,Half-Elf,Bard,1,,,,1
76,3462,15,8,10,6,12,15,15,Genasi,Monk,1,,Sorcerer/Bard/Barbarian,Draconic Bloodline/College of Lore/Path of the Berserker,5
77,3477,104,7,11,13,12,12,11,Aarakocra,Bard,13,College of Lore,,,13
78,3523,12,13,8,14,10,15,12,Elf,Cleric,3,Life Domain,,,3
79,3559,12,10,15,14,10,10,13,Halfling,Fighter,1,,,,1
80,3562,120,13,12,10,3,11,13,Tiefling,Sorcerer,20,Draconic Bloodline,,,20
81,3572,12,0,0,0,0,0,0,Dwarf,Paladin,1,,,,1
82,3575,6,12,15,13,10,14,8,Dwarf,Monk,1,,,,1
83,3584,24,18,18,18,18,18,18,Human,Wizard,4,,,,4
84,3605,82,10,14,8,15,12,13,Gnome,Wizard,20,School of Illusion,,,20
85,3679,12,0,0,0,0,0,0,Halfling,Rogue,1,,,,1
86,3681,38,8,13,12,15,10,14,Human,Wizard,9,School of Evocation,,,9
87,3697,12,10,18,10,12,14,15,Tiefling,Rogue,1,,,,1
88,3698,28,11,13,11,13,12,18,Dwarf,Druid,5,Circle of the Land (Mountain),,,5
89,3702,18,16,16,15,13,14,13,Tiefling,Rogue,3,Assassin,,,3
90,3707,12,0,0,0,0,0,0,Half-Elf,Paladin,1,,,,1
91,3713,23,14,10,14,10,18,8,Human,Cleric,8,Life Domain,,,8
92,3714,46,10,9,10,9,8,10,Elf,Barbarian,18,Path of the Berserker,,,18
93,3719,142,9,12,9,6,9,12,Dragonborn,Paladin,17,Oath of Devotion,Warlock/Ranger,The Fiend/Hunter,20
94,3742,12,0,0,0,0,0,0,Aarakocra,Monk,1,,,,1
95,3757,12,0,0,0,0,0,0,Dragonborn,Barbarian,1,,,,1
96,3759,12,8,14,13,10,12,15,Aarakocra,Bard,1,,,,1
97,3787,12,8,14,10,14,10,15,Dragonborn,Bard,3,College of Lore,Rogue,Thief,6
98,3835,12,0,0,0,0,0,0,Human,Sorcerer,1,,,,1
99,3853,20,12,16,10,12,14,7,Dragonborn,Monk,3,Way of the Open Hand,,,3
100,3878,12,12,16,11,12,8,9,Human,Rogue,1,,,,1
101,3903,12,8,13,12,10,14,15,Dragonborn,Sorcerer,1,Draconic Bloodline,,,1
102,3909,12,0,0,0,0,0,0,Halfling,Sorcerer,1,,,,1
103,3961,10,11,10,13,15,12,12,Half-Elf,Ranger,1,,,,1
104,3965,80,11,12,14,11,13,10,Human,Fighter,11,Champion,,,11
105,4002,12,0,0,0,0,0,0,Genasi,Druid,1,,,,1
106,4003,12,15,13,14,10,12,8,Dragonborn,Barbarian,1,,,,1
107,4008,8,13,8,14,10,15,12,Dragonborn,Cleric,1,Life Domain,,,1
108,4068,8,10,14,12,13,8,15,Half-Orc,Bard,1,,,,1
109,4083,12,12,15,13,10,14,8,Genasi,Monk,3,Way of the Open Hand,,,3
110,4085,8,8,13,14,12,10,15,Half-Elf,Warlock,4,The Fiend,,,4
111,4090,12,6,16,16,12,16,16,Elf,Warlock,8,,,,8
112,4092,8,12,13,12,13,12,13,Human,Bard,1,,,,1
113,4100,103,10,15,13,10,15,8,Human,Monk,20,Way of the Kensei,,,20
114,4157,12,12,15,8,10,14,0,Human,Monk,1,,,,1
115,4160,12,15,12,13,10,14,8,Genasi,Monk,15,,Barbarian,,20
116,4170,12,0,0,0,0,0,0,Human,Warlock,1,The Fiend,,,1
117,4178,12,19,15,14,11,12,13,Goliath,Fighter,1,,,,1
118,4221,30,8,13,13,15,12,12,Human,Wizard,8,School of Evocation,,,8
119,4263,12,8,15,8,13,12,15,Tiefling,Warlock,1,The Fiend,,,1
120,4266,12,15,15,15,8,8,8,Genasi,Barbarian,1,,,,1
121,4273,53,13,13,16,16,17,15,Dragonborn,Druid,11,Circle of the Moon,,,11
122,4283,34,8,15,14,10,10,14,Half-Elf,Sorcerer,8,Draconic Bloodline,,,8
123,4285,43,12,14,10,11,12,14,Elf,Rogue,20,Thief,,,20
124,4308,12,10,15,10,10,15,8,Human,Fighter,1,,,,1
125,4337,12,0,0,0,0,0,0,Tiefling,Paladin,1,,,,1
126,4357,12,15,13,14,10,12,8,Goliath,Barbarian,1,,,,1
127,4364,12,10,17,17,15,8,14,Half-Elf,Rogue,1,,,,1
128,4406,68,14,10,14,8,15,10,Human,Cleric,13,Death Domain,,,13
129,4407,78,13,18,14,13,18,12,Halfling,Monk,15,Way of Shadow,,,15
130,4416,20,7,18,9,9,16,12,Dragonborn,Ranger,3,Hunter,,,3
131,4424,12,15,8,8,8,8,8,Human,Paladin,1,,,,1
132,4426,12,10,16,14,17,12,10,Tiefling,Wizard,6,School of Evocation,,,6
133,4427,24,14,10,14,14,12,11,Dwarf,Barbarian,3,Path of the Berserker,,,3
134,4432,12,15,16,16,12,18,11,Dwarf,Druid,1,,,,1
135,4434,12,0,0,0,0,0,0,Human,Bard,5,College of Lore,,,5
136,4439,8,0,0,0,0,0,0,Genasi,Warlock,1,,,,1
137,4451,12,15,13,14,12,10,8,Human,Fighter,5,Champion,,,5
138,4457,12,8,12,10,14,15,16,Half-Elf,Monk,1,,,,1
139,4459,13,8,10,14,12,15,13,Elf,Cleric,2,Life Domain,,,2
140,4463,12,0,0,0,0,0,0,Human,Warlock,1,,,,1
141,4466,12,15,10,14,8,12,13,Half-Elf,Paladin,2,,,,2
142,4468,43,14,13,15,8,12,10,Half-Orc,Fighter,1,,,,1
143,4477,12,0,0,0,0,0,0,Human,Rogue,6,Thief,Fighter,,7
144,4478,12,0,0,0,0,0,0,Human,Warlock,1,,,,1
145,4491,12,12,16,14,17,8,12,Human,Wizard,1,,,,1
146,4505,8,8,15,11,12,10,15,Half-Elf,Bard,1,,,,1
147,4507,12,8,14,12,13,12,14,Tiefling,Warlock,1,The Fiend,,,1
148,4512,12,0,0,0,0,0,0,Tiefling,Ranger,1,,,,1
149,4513,12,10,15,12,12,14,9,Genasi,Monk,1,,,,1
150,4526,12,0,0,0,0,0,0,Human,Paladin,1,,,,1
151,4533,12,0,0,0,0,0,0,Genasi,Sorcerer,1,,,,1
152,4534,12,16,8,16,18,10,8,Dwarf,Wizard,20,,,,20
153,4551,12,16,10,16,10,17,14,Dwarf,Cleric,1,Life Domain,,,1
154,4553,22,15,12,14,8,13,10,Human,Fighter,3,Rune Knight,,,3
155,4556,12,16,18,16,10,11,12,Halfling,Barbarian,1,,,,1
156,4558,12,10,8,14,12,15,13,Genasi,Cleric,7,Life Domain,,,7
157,4565,164,10,16,15,12,18,11,Dragonborn,Druid,20,Circle of the Moon,,,20
158,4566,12,15,12,14,8,10,13,Goliath,Paladin,3,Oath of Devotion,,,3
159,4576,21,15,16,13,15,14,11,Elf,Rogue,3,,,,3
160,4581,40,17,10,14,9,12,14,Dragonborn,Paladin,6,Oath of Devotion,,,6
161,4582,12,15,14,9,6,10,14,Human,Bard,1,,,,1
162,4584,10,13,13,13,12,12,17,Dragonborn,Sorcerer,2,Draconic Bloodline,,,2
163,4593,12,12,12,12,12,14,12,Aarakocra,Druid,1,,,,1
164,4597,12,14,10,14,11,12,12,Dwarf,Barbarian,1,,,,1
165,4602,10,10,14,14,12,13,10,Elf,Ranger,1,,,,1
166,4606,12,14,8,13,10,12,15,Dragonborn,Paladin,1,,,,1
167,4611,12,14,11,14,16,10,12,Dragonborn,Wizard,2,School of Evocation,,,2
168,4615,12,0,0,0,0,0,0,Tiefling,Warlock,6,,,,6
169,4620,12,0,0,0,0,0,0,Half-Elf,Bard,1,,,,1
170,4622,12,11,12,12,10,13,15,Half-Elf,Warlock,1,The Fiend,,,1
171,4626,12,13,15,12,13,14,19,Half-Orc,Rogue,5,,,,5
172,4627,12,14,12,15,10,13,8,Goliath,Barbarian,5,Path of the Berserker,,,5
173,4635,12,0,0,0,0,0,0,Human,Wizard,1,,,,1
174,4638,12,18,16,12,10,14,13,Dragonborn,Fighter,5,,,,5
175,4645,12,14,16,16,12,14,10,Half-Orc,Barbarian,1,,,,1
176,4649,12,8,15,14,12,10,13,Halfling,Fighter,1,,,,1
177,4652,12,10,13,8,14,12,15,Half-Elf,Warlock,2,The Fiend,,,2
178,4654,12,12,14,13,15,10,8,Dwarf,Druid,1,,,,1
179,4659,12,8,12,13,15,12,12,Human,Wizard,1,,,,1
180,4663,12,8,13,14,15,12,10,Human,Wizard,1,,,,1
181,4669,12,16,9,15,8,10,16,Human,Warlock,1,The Fiend,,,1
182,4675,12,0,0,0,0,0,0,Half-Orc,Barbarian,3,Path of the Berserker,Cleric,Life Domain,6
183,4683,12,0,0,0,0,0,0,Tiefling,Warlock,1,The Fiend,,,1
184,4684,40,13,14,10,11,11,15,Elf,Warlock,5,The Fiend,,,5
185,4695,12,8,12,10,13,14,15,Dragonborn,Sorcerer,10,Draconic Bloodline,,,10
186,4698,12,0,0,0,0,0,0,Tiefling,Bard,7,College of Lore,,,7
187,4702,82,8,15,13,15,12,8,Human,Wizard,17,School of Evocation,Fighter,,19
188,4704,12,14,10,12,15,13,8,Dwarf,Druid,2,Circle of the Land (Forest),,,2
189,4715,12,16,9,16,9,14,18,Half-Elf,Paladin,2,,,,2
190,4716,28,8,14,15,10,8,15,Human,Bard,5,College of Lore,,,5
191,4724,6,8,12,11,15,14,11,Elf,Wizard,3,School of Evocation,,,3
192,4730,10,15,13,14,10,12,8,Half-Orc,Fighter,1,,,,1
193,4731,12,15,14,14,10,9,9,Dwarf,Fighter,1,,,,1
194,4735,10,15,14,13,10,12,8,Human,Fighter,3,Champion,,,3
195,4739,12,8,14,14,8,12,15,Tiefling,Sorcerer,4,Draconic Bloodline,,,4
196,4740,46,18,15,15,10,15,17,Human,Paladin,8,Oath of Vengeance,,,8
197,4754,12,13,15,12,10,14,8,Elf,Ranger,1,,,,1
198,4755,12,13,13,14,9,15,8,Genasi,Druid,1,,,,1
199,4757,55,18,13,13,8,9,10,Goliath,Barbarian,5,Path of the Berserker,Rogue/Monk/Sorcerer,Thief/Way of the Open Hand/Draconic Bloodline,20
200,4760,12,11,13,12,15,13,9,Human,Wizard,5,School of Evocation,,,5
201,4765,12,17,14,13,8,9,13,Dwarf,Barbarian,1,,,,1
202,4766,28,8,14,13,15,10,12,Elf,Rogue,5,,,,5
203,4768,73,8,14,14,10,15,10,Elf,Cleric,14,Life Domain,,,14
204,4775,12,15,12,14,10,11,10,Human,Fighter,1,,,,1
205,4776,100,15,16,15,8,12,8,Goliath,Barbarian,10,Path of the Totem Warrior,,,10
206,4778,12,12,10,10,14,15,11,Dragonborn,Druid,1,,,,1
207,4779,12,12,17,16,14,12,18,Tiefling,Warlock,1,The Fiend,,,1
208,4788,12,15,15,15,15,15,15,Human,Fighter,1,,,,1
209,4793,12,10,14,13,8,12,15,Half-Elf,Warlock,6,The Fiend,,,6
210,4795,52,10,14,15,16,13,12,Gnome,Wizard,10,School of Divination,,,10
211,4797,12,0,0,0,0,0,0,Human,Fighter,1,,,,1
212,4798,12,10,13,12,14,8,15,Half-Elf,Warlock,5,,,,5
213,4801,73,8,14,14,12,10,14,Tiefling,Warlock,14,The Fiend,,,14
214,4811,12,15,14,12,8,13,10,Dwarf,Ranger,1,,,,1
215,4812,12,14,17,16,15,17,14,Elf,Ranger,5,Hunter,,,5
216,4818,12,17,16,15,11,13,10,Aarakocra,Barbarian,1,,,,1
217,4826,12,20,20,20,20,20,20,Elf,Paladin,1,,,,1
218,4830,12,20,15,26,16,15,15,Goliath,Barbarian,1,,,,1
219,4837,6,10,14,11,15,4,10,Gnome,Wizard,1,,,,1
220,4839,12,13,8,12,14,10,15,Half-Elf,Warlock,1,The Fiend,,,1
221,4846,28,14,8,14,10,12,14,Dwarf,Paladin,4,Oath of Devotion,,,4
222,4852,28,10,14,12,10,12,15,Genasi,Warlock,5,The Great Old One,,,5
223,4856,57,13,13,11,12,13,13,Human,Barbarian,1,,Rogue/Cleric/Sorcerer/Wizard/Warlock/Bard/Druid/Fighter/Paladin,Knowledge Domain/Storm Sorcery/The Hexblade,10
224,4857,12,0,0,0,0,0,0,Human,Cleric,7,Life Domain,,,7
225,4860,12,10,15,11,14,12,10,Tiefling,Rogue,1,,,,1
226,4861,12,12,13,13,13,11,13,Human,Paladin,3,Oath of Devotion,,,3
227,4871,12,0,0,0,0,0,0,Elf,Barbarian,6,,,,6
228,4872,12,14,15,13,10,12,8,Human,Monk,1,,,,1
229,4873,12,10,19,15,14,12,13,Elf,Rogue,1,,,,1
230,4884,34,14,11,16,8,10,14,Dwarf,Sorcerer,8,Divine Soul,,,8
231,4889,12,8,13,14,12,10,15,Halfling,Warlock,2,The Fiend,,,2
232,4894,12,17,11,16,11,14,13,Dragonborn,Paladin,5,Oath of Devotion,,,5
233,4900,12,15,10,14,8,12,13,Dwarf,Paladin,8,Oath of Devotion,,,8
234,4908,12,13,19,15,17,13,9,Gnome,Rogue,1,,,,1
235,4911,12,15,14,13,8,12,10,Goliath,Fighter,12,Champion,,,12
236,4913,12,8,15,11,15,12,10,Gnome,Wizard,6,School of Evocation,,,6
237,4920,13,12,15,14,12,14,13,Shifter (UA),Druid,2,Circle of the Stars (archived),,,2
238,4934,12,13,14,16,17,11,14,Half-Elf,Wizard,1,,,,1
239,4938,12,13,8,14,10,15,12,Dwarf,Cleric,3,,,,3
240,4939,19,12,17,13,12,15,12,Half-Elf,Ranger,2,,Rogue,,3
241,4940,10,16,14,5,16,15,12,Human,Cleric,2,Life Domain,,,2
242,4950,8,8,13,14,10,15,12,Gnome,Druid,1,,,,1
243,4952,12,15,11,15,8,10,12,Human,Barbarian,1,,Fighter,,3
244,4956,12,14,8,12,12,13,14,Human,Fighter,1,,,,1
245,4963,12,18,0,18,18,18,18,Dragonborn,Barbarian,1,,Fighter,,20
246,4973,12,0,0,0,0,0,0,Elf,Bard,7,,,,7
247,4980,12,12,11,15,9,18,11,Dwarf,Cleric,11,Life Domain,,,11
248,4984,42,15,14,13,10,12,8,Dragonborn,Monk,6,Way of the Open Hand,,,6
249,4988,12,8,8,8,8,15,8,Dwarf,Cleric,1,Life Domain,,,1
250,4992,12,14,16,10,13,13,17,Human,Bard,12,College of Lore,,,12
251,4994,80,18,14,15,10,14,17,Dragonborn,Fighter,8,Champion,Barbarian,,10
252,5007,12,15,10,15,10,11,10,Half-Orc,Fighter,1,,,,1
253,5014,73,9,15,11,8,15,13,Human,Monk,9,Way of the Sun Soul,Cleric,Light Domain,14
254,5022,12,10,15,8,13,12,14,Halfling,Rogue,5,Thief,,,5
255,5025,6,6,15,13,13,11,14,Human,Bard,1,,,,1
256,5033,12,13,16,13,13,15,10,Elf,Monk,5,Way of the Open Hand,,,5
257,5037,37,10,17,14,11,13,18,Halfling,Bard,12,College of Lore,,,12
258,5040,12,12,15,13,8,14,10,Human,Ranger,1,,,,1
259,5043,12,15,14,13,10,12,8,Human,Fighter,3,,,,3
260,5055,52,13,15,14,10,8,12,Half-Orc,Fighter,8,Battle Master,Barbarian,,9
261,5058,12,14,15,13,12,10,8,Elf,Ranger,1,,,,1
262,5062,12,8,13,14,12,10,15,Half-Elf,Warlock,1,The Fiend,,,1
263,5070,12,18,10,10,16,16,16,Human,Druid,3,,,,3
264,5075,10,15,14,13,12,10,8,Human,Fighter,1,,,,1
265,5080,12,8,10,14,13,12,15,Tiefling,Sorcerer,1,Draconic Bloodline,,,1
266,5084,12,0,0,0,0,0,0,Halfling,Paladin,2,,Warlock,,5
267,5099,63,14,12,13,10,15,8,Dwarf,Cleric,12,Life Domain,,,12
268,5104,12,0,0,0,0,0,0,Human,Rogue,1,,,,1
269,5113,28,13,8,9,7,10,10,Genasi,Monk,5,,,,5
270,5115,12,10,14,12,13,8,15,Half-Elf,Bard,1,,,,1
271,5140,6,12,15,13,10,14,8,Half-Orc,Monk,1,,,,1
272,5141,12,12,18,15,14,12,17,Human,Rogue,1,,,,1
273,5147,12,10,15,14,8,8,15,Human,Paladin,5,,Rogue,,10
274,5157,12,15,14,13,12,8,10,Human,Fighter,6,Champion,,,6
275,5162,12,0,0,0,0,0,0,Human,Monk,1,,,,1
276,5165,12,8,14,10,13,15,12,Half-Elf,Druid,3,,,,3
277,5175,12,0,0,0,0,0,0,Human,Ranger,1,,,,1
278,5177,12,14,14,14,11,7,14,Dragonborn,Barbarian,4,Path of the Berserker,,,4
279,5181,10,13,6,11,12,6,7,Aarakocra,Ranger,1,,,,1
280,5200,12,0,0,0,0,0,0,Halfling,Rogue,1,,,,1
281,5208,12,14,12,15,9,12,10,Half-Orc,Barbarian,1,,,,1
282,5210,12,12,10,14,8,15,13,Dragonborn,Cleric,1,Life Domain,,,1
283,5211,12,8,15,12,14,14,8,Genasi,Monk,1,,,,1
284,5212,12,0,0,0,0,0,0,Human,Warlock,1,,,,1
285,5214,12,14,15,13,12,10,8,Elf,Ranger,4,Hunter,,,4
286,5222,12,10,15,13,14,8,12,Half-Orc,Rogue,1,,,,1
287,5223,24,8,8,8,8,8,8,Gnome,Druid,5,Circle of the Land (Underdark),,,5
288,5224,12,16,12,15,12,15,16,Half-Elf,Paladin,1,,,,1
289,5231,12,10,15,10,10,10,15,Halfling,Bard,4,College of Lore,,,4
290,5238,12,8,10,12,14,13,15,Dragonborn,Warlock,1,,,,1
291,5247,12,15,13,14,12,8,10,Half-Orc,Fighter,1,,,,1
292,5249,12,12,15,14,8,10,13,Dragonborn,Rogue,1,,,,1
293,5257,18,10,15,12,8,14,13,Dragonborn,Monk,3,Way of the Open Hand,,,3
294,5258,12,14,8,13,12,15,10,Half-Orc,Cleric,1,Life Domain,,,1
295,5263,50,11,12,12,12,12,10,Genasi,Cleric,7,Life Domain,,,7
296,5268,12,0,0,0,0,0,0,Goliath,Fighter,2,,,,2
297,5271,12,0,0,0,0,0,0,Halfling,Ranger,3,,,,3
298,5274,32,10,16,12,12,14,16,Halfling,Rogue,4,,,,4
299,5275,12,11,12,12,11,11,16,Half-Orc,Warlock,6,,,,6
300,5281,12,16,12,17,12,11,15,Dragonborn,Paladin,1,,,,1
301,5286,12,12,15,14,10,13,8,Elf,Ranger,1,,,,1
302,5291,103,12,8,10,6,3,14,Aarakocra,Bard,20,College of Lore,,,20
303,5299,12,15,8,14,10,13,12,Goliath,Barbarian,1,,,,1
304,5301,22,8,14,13,15,12,10,Elf,Wizard,5,Bladesinging,,,5
305,5302,12,15,10,13,10,10,14,Half-Elf,Paladin,1,,,,1
306,5307,12,0,0,0,0,0,0,Tiefling,Bard,5,College of Lore,,,5
307,5308,12,8,16,12,10,10,16,Tiefling,Sorcerer,3,Draconic Bloodline,,,3
308,5314,12,8,15,14,10,10,14,Tiefling,Warlock,2,The Fiend,,,2
309,5315,12,18,18,14,14,12,13,Elf,Ranger,1,,,,1
310,5316,58,15,12,15,10,16,12,Human,Cleric,11,Light Domain,,,11
311,5322,12,15,8,13,12,8,15,Dragonborn,Warlock,10,The Fiend,,,10
312,5327,107,13,15,12,10,14,8,Elf,Ranger,20,Hunter,,,20
313,5329,6,12,11,9,11,15,9,Elf,Rogue,1,,,,1
314,5345,12,0,0,0,0,0,0,Human,Warlock,1,The Fiend,,,1
315,5348,12,9,13,14,17,9,12,Human,Wizard,3,,,,3
316,5352,33,13,15,12,8,14,10,Halfling,Monk,6,Way of the Open Hand,,,6
317,5361,12,8,10,13,15,14,12,Tiefling,Wizard,6,School of Evocation,,,6
318,5380,12,17,15,16,10,10,10,Human,Barbarian,5,Path of the Berserker,,,5
319,5386,56,8,13,12,10,14,16,Tiefling,Bard,9,College of Lore,,,9
320,5397,12,15,17,12,11,14,10,Genasi,Ranger,14,Hunter,,,14
321,5399,12,10,13,8,15,12,14,Human,Rogue,6,Thief,,,6
322,5400,99,10,14,12,12,17,8,Elf,Ranger,6,Hunter,Cleric/Fighter/Rogue,War Domain/Arcane Archer,17
323,5407,124,15,10,13,10,10,14,Half-Elf,Paladin,20,Oath of the Ancients,,,20
324,5408,12,10,13,12,8,14,15,Half-Orc,Monk,1,,,,1
325,5411,12,8,14,14,10,12,14,Half-Elf,Sorcerer,3,Draconic Bloodline,,,3
326,5413,34,8,14,13,15,12,10,Elf,Wizard,8,,,,8
327,5424,12,15,12,14,13,10,8,Dragonborn,Fighter,1,,,,1
328,5426,12,8,14,14,12,15,8,Elf,Cleric,1,,,,1
329,5440,26,8,14,14,15,10,10,Feral Tiefling,Wizard,6,School of Enchantment,,,6
330,5443,8,10,10,10,14,13,11,Genasi,Druid,1,,,,1
331,5445,12,15,13,14,12,10,8,Human,Barbarian,1,,,,1
332,5446,12,8,15,14,15,10,8,Elf,Wizard,13,School of Evocation,,,13
333,5456,12,11,11,12,14,13,13,Aarakocra,Druid,1,,,,1
334,5460,42,16,14,17,6,6,12,Goliath,Barbarian,6,,,,6
335,5464,8,0,0,0,0,0,0,Gnome,Cleric,3,,,,3
336,5472,12,15,13,10,14,12,8,Human,Ranger,4,,,,4
337,5479,63,10,18,16,12,13,14,Genasi,Rogue,6,Swashbuckler,Fighter,Rune Knight (archived),11
338,5488,12,10,16,13,11,10,17,Human,Bard,10,College of Lore,,,10
339,5498,6,11,10,12,14,10,10,Human,Rogue,1,,,,1
340,5500,53,14,16,14,9,15,10,Dragonborn,Monk,10,Way of the Open Hand,,,10
341,5505,12,18,13,15,11,15,17,Human,Paladin,1,,,,1
342,5506,12,15,10,13,8,12,14,Half-Elf,Paladin,1,,,,1
343,5516,12,15,12,14,8,10,13,Dragonborn,Fighter,1,,,,1
344,5518,12,15,8,12,10,13,14,Dragonborn,Paladin,2,,,,2
